,rank,finalWorth,age,selfMade,is_male,birthDate,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
405,405,6300,58.0,True,True,-157802400.0,1965.0,1.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
406,405,6300,66.0,True,True,-428752800.0,1956.0,6.0,1.0,119.62,1.7,2827113184696,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
407,405,6300,85.0,False,True,-1009879200.0,1938.0,1.0,1.0,110.05,1.1,2715518274227,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
408,405,6300,59.0,True,True,-183376800.0,1964.0,3.0,11.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
409,405,6300,96.0,True,True,-1371632400.0,1926.0,7.0,16.0,108.15,0.8,395098666122,63.4,104.9,82.8,23.1,25.3,9053300.0,31.046051,34.851612
410,411,6200,59.0,False,False,-210506400.0,1963.0,5.0,2.0,141.54,3.6,1258286717125,40.2,105.8,75.0,13.1,55.1,126014024.0,23.634501,-102.552784
411,411,6200,85.0,True,True,-1004608800.0,1938.0,3.0,3.0,110.51,1.8,530832908738,67.0,126.6,82.5,27.9,49.1,10285453.0,60.128161,18.643501
412,411,6200,89.0,True,True,-1149242400.0,1933.0,8.0,2.0,115.91,2.6,909070395161,85.0,104.2,81.8,23.0,41.2,17332850.0,52.132633,5.291266
413,411,6200,59.0,True,True,-189424800.0,1964.0,1.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
414,411,6200,59.0,True,True,-189424800.0,1964.0,1.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
415,411,6200,51.0,True,True,63036000.0,1972.0,1.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
416,411,6200,60.0,True,True,-235994400.0,1962.0,7.0,11.0,114.11,2.2,592164400688,67.8,100.0,77.6,17.4,40.8,37970874.0,51.919438,19.145136
417,418,6100,69.0,True,True,-526298400.0,1953.0,4.0,29.0,267.51,11.4,448120428859,10.2,84.7,54.3,1.5,34.8,200963599.0,9.081999,8.675277
418,418,6100,58.0,True,True,-171108000.0,1964.0,7.0,31.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
